No.,표준용어논리명,표준용어물리명,데이터타입,데이터길이,데이터소수점길이,설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680,BATCH작업시스템ID,BTC_WRK_SYS_ID,VARCHAR2,2,,작업 종료 상태를 체크 또는 등록하고자 하는 단위작업의 소스시스템 ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2681,BATCH작업시작일시,BTC_WRK_STT_DTM,DATE,,,[배치용_작업_시작_일시] : 배치 작업 시작일시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,BATCH작업여부,BTC_WRK_YN,VARCHAR2,1,,배치용 처리 작업 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,BATCH작업일련번호,BTC_WRK_SNO,NUMBER,9,,BATCH처리의 기준이 되는 작업의 일련번호 (결산처리등 다량의 데이터를 처리하기위함),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2684,BATCH작업일자,BTC_WRK_DT,VARCHAR2,8,,배치_작업_일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[(구) NOTE 정보] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"배치_일자""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2685,BATCH작업종료일시,BTC_WRK_END_DTM,DATE,,,[배치용_작업_종료_일시] : 배치 작업 종료일시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2686,BATCH작업파일ID,BTC_WRK_FL_ID,VARCHAR2,10,,배치작업의 파일ID를 나타냄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,BATCH작업폴더명,BTC_WRK_FDR_NM,VARCHAR2,10,,BATCH가 등록되어 있는 Control-M의 폴더,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,BATCH전환여부,BTC_COV_YN,VARCHAR2,1,,배치전환 여부를 설정하는 항목.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,BATCH종료대상여부,BTC_END_TGT_YN,VARCHAR2,1,,AI플랫폼  배치프로그램ID 실행 종료대상 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,BATCH종료시각,BTC_END_TM,VARCHAR2,6,,배치의 실행 종료 시각(시분초 : HH24MISS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,BATCH종료일시,BTC_END_DTM,DATE,,,[BATCH_종료_일시] : 배치작업을 종료한 일시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,BATCH종료일자,BTC_END_DT,VARCHAR2,8,,배치의 실행 종료 일자(년월일 : YYYYMMDD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,BATCH참조내용,BTC_RFR_CONE,VARCHAR2,200,,BATCH작업 관련 참조 사항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,BATCH처리건수,BTC_PRC_CNT,NUMBER,10,,배치 프로그램 처리 데이터 건수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,BATCH처리결과내용,BTC_PRC_RLT_CONE,VARCHAR2,20,,BATCH처리결과가 성공인지 실패인지에 대한 내용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,BATCH처리결과코드,BTC_PRC_RLT_C,VARCHAR2,4,,정상/오류/처리중인지의 결과 코드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,BATCH처리단계구분내용,BTC_PRC_STG_DTT_CONE,VARCHAR2,20,,배치 처리 단계 구분을 위한 내용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,BATCH처리상세내용,BTC_PRC_DTL_CONE,VARCHAR2,4000,,BATCH처리에 관한 상세내용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,BATCH처리설명,BTC_PRC_DES,VARCHAR2,300,,BATCH처리에 관한 설명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,BATCH처리일련번호,BTC_PRC_SNO,NUMBER,9,,배치 프로그램 처리 관리를 위한 일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,BATCH처리일자,BTC_PRC_DT,VARCHAR2,8,,BATCH작업 처리 일자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,BATCH파일ID,BTC_FL_ID,VARCHAR2,10,,배치 프로그램 처리를 위한 배치 파일 ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703,BATCH프로그램ID,BTC_PGM_ID,VARCHAR2,10,,BATCH로 수행되는 프로그램의 ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,BATCH프로그램명,BTC_PGM_NM,VARCHAR2,100,,BATCH작업명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,BCP첨부파일구분코드,BCP_APG_FL_TC,VARCHAR2,2,,여러종류의 첨부파일을 관리하기 위한 소분류,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706,BCP첨부파일명,BCP_APG_FL_NM,VARCHAR2,300,,손실사건과 관련되 첨부파일이 존재할 경우 첨부 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,BCP첨부파일크기,BCP_APG_FL_SZ,NUMBER,10,,BCP 첨부문서 크기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,BEEL구조조정비율,BEEL_SRU_ADJ_RATO,NUMBER,11,6,BEEL방식의 구조조정비율 추정값,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709,BEEL구조조정손실률,BEEL_SRU_ADJ_LSS_RT,NUMBER,11,6,BEEL방식의 구조조정손실률 추정값,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710,BEEL물품손실률,BEEL_ARTC_LSS_RT,NUMBER,11,6,예상 손실의 최적 추정치(BEEL : Best Estimate Expected Loss) 산출에 사용되어지는 물품관련 손실률,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
