"category","table","column","field","local","prod","detail"
"COLUMN_TYPE_DIFF","TPRMPP_BCMMTL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCMMTM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCONTL","DOC_VRS_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCONTL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCONTL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCONTM","DOC_VRS_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCONTM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCOSTL","BG_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCOSTL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCOSTL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCOSTM","BG_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BCOSTM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BDELIL","DOC_VRS_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BDELIL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BDELIL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BDELIM","DOC_VRS_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BDELIM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTIL","DOC_VRS_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTIL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTIL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTIM","DOC_VRS_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTIM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTTL","DOC_VRS_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTTL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTTL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTTL","RQM_BG_AMT","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTTM","DOC_VRS_SNO","컬럼타입","NUMBER(9,0)","NUMBER(9)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTTM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BESTTM","RQM_BG_AMT","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BEVALL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BEVALL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BEVALL","QUEL_RCRD","컬럼타입","NUMBER(5,0)","NUMBER(5)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BEVALM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BEVALM","QUEL_RCRD","컬럼타입","NUMBER(5,0)","NUMBER(5)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BGDOCL","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BGDOCL","LOG_HIS_TGR_SNO","컬럼타입","NUMBER(18,0)","NUMBER(18)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BGDOCM","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BITEML","FNT_TB_CRY_SNO","컬럼타입","NUMBER(10,0)","NUMBER(10)","컬럼타입 불일치"
"COLUMN_TYPE_DIFF","TPRMPP_BITEML","GUID_PRG_SNO","컬럼타입","NUMBER(4,0)","NUMBER(4)","컬럼타입 불일치"
