PRLM_OGZ_C_CONE	BBR_NM	BBR_WREN_NM	ITM_SQN_SNO	PRLM_HRK_OGZ_C_CONE	USE_YN	FST_ENR_USID	FST_ENR_DTM	DEL_YN	GUID	GUID_PRG_SNO	LST_CHG_USID	LST_CHG_DTM
059	강북지역본부	Gangbuk Regional Head Office	203	050	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
880	군산지점	Gunsan Branch	345	050	Y	IAMADMIN	2026-06-19 10:53:41.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:41.000
030	기업금융4실	Corporate Banking Department Ⅳ	81	008	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
871	당진지점	Dangjin Branch	327	050	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
131	리스크관리부	Risk Management Department	127	018	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
890	목포지점	Mokpo Branch	349	050	Y	IAMADMIN	2026-06-19 10:53:42.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:42.000
780	부산지점	Busan Branch	299	050	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
954	선양지점	Shenyang Branch	917	020	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
860	수원지점	Suwon Branch	281	050	Y	IAMADMIN	2026-06-19 10:53:43.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:43.000
391	심사2부	Credit Review Department Ⅱ	117	035	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
861	안양지점	Anyang Branch	283	050	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
132	여신감리부	Loan Review Department	129	018	Y	IAMADMIN	2026-06-19 10:53:44.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:44.000
485	온렌딩금융부	On-lending Banking Department	163	038	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
160	인사부	Personnel Department	145	071	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
130	재무회계부	   Financial Accounting Department	157	038	Y	IAMADMIN	2026-06-19 10:53:45.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:45.000
811	진주지점	Jinju Branch	305	050	Y	IAMADMIN	2026-06-19 10:53:46.000	N	00000000000000000000000000000000000000	0	IAMADMIN	2026-06-19 10:53:46.000
